"","airlineId","year","month","type","NormalizedDelay","count"
"70284",19386,2009,5,0,3.9998326,23912
"70285",19386,2009,6,0,3.9998431,25496
"70286",19386,2009,7,0,3.9998522,27071
"70287",19386,2009,8,0,3.99984,25010
"70288",19386,2009,9,0,3.9998033,20343
"70289",19391,1987,12,0,3.9996896,12888
"70290",19391,1988,1,0,3.9996858,12733
"70291",19391,1988,2,0,3.9996624,11847
"70292",19391,1988,3,0,3.999685,12700
"70293",19391,1988,4,0,3.998819,3387
"70294",19393,1987,12,0,3.9997594,16620
"70295",19393,1988,1,0,3.9997654,17045
"70296",19393,1988,10,0,3.9997969,19687
"70297",19393,1988,11,0,3.9997795,18139
"70298",19393,1988,12,0,3.9997828,18425
"70299",19393,1988,2,0,3.9997625,16851
"70300",19393,1988,3,0,3.99978,18170
"70301",19393,1988,4,0,3.9997773,17965
"70302",19393,1988,5,0,3.9997873,18819
"70303",19393,1988,6,0,3.9997954,19546
"70304",19393,1988,7,0,3.9997995,19938
"70305",19393,1988,8,0,3.9998076,20782
"70306",19393,1988,9,0,3.9997923,19270
"70307",19393,1989,1,0,3.9997914,19181
"70308",19393,1989,10,0,3.99982,22211
"70309",19393,1989,11,0,3.9998038,20392
"70310",19393,1989,12,0,3.999798,19797
"70311",19393,1989,2,0,3.9997616,16784
"70312",19393,1989,3,0,3.9997964,19652
"70313",19393,1989,4,0,3.9998004,20049
"70314",19393,1989,5,0,3.9998116,21231
"70315",19393,1989,6,0,3.9998074,20776
"70316",19393,1989,7,0,3.999811,21166
"70317",19393,1989,8,0,3.999818,21981
"70318",19393,1989,9,0,3.9998107,21140
"70319",19393,1990,1,0,3.9998178,21949
"70320",19393,1990,10,0,3.9998367,24504
"70321",19393,1990,11,0,3.999827,23101
"70322",19393,1990,12,0,3.9998217,22440
"70323",19393,1990,2,0,3.9997935,19363
"70324",19393,1990,3,0,3.9998176,21925
"70325",19393,1990,4,0,3.999822,22472
"70326",19393,1990,5,0,3.999833,23966
"70327",19393,1990,6,0,3.9998283,23310
"70328",19393,1990,7,0,3.9998353,24271
"70329",19393,1990,8,0,3.9998362,24409
"70330",19393,1990,9,0,3.9998298,23508
"70331",19393,1991,1,0,3.9998374,24602
"70332",19393,1991,10,0,3.999859,28376
"70333",19393,1991,11,0,3.9998484,26363
"70334",19393,1991,12,0,3.9998453,25853
"70335",19393,1991,2,0,3.9998248,22824
"70336",19393,1991,3,0,3.9998386,24785
"70337",19393,1991,4,0,3.9998424,25398
"70338",19393,1991,5,0,3.999851,26834
"70339",19393,1991,6,0,3.9998505,26763
"70340",19393,1991,7,0,3.9998596,28462
"70341",19393,1991,8,0,3.9998612,28835
"70342",19393,1991,9,0,3.9998531,27254
"70343",19393,1992,1,0,3.9998589,28326
"70344",19393,1992,10,0,3.9998765,32396
"70345",19393,1992,11,0,3.999868,30300
"70346",19393,1992,12,0,3.9998677,30255
"70347",19393,1992,2,0,3.9998472,26174
"70348",19393,1992,3,0,3.9998622,29021
"70349",19393,1992,4,0,3.9998612,28811
